Authors,Title,Year,Inclusion,Final_refugia_type,Scale,Location_Country,Province,EEZ,Global_outside_or_both_EEZ,Depth,Time,Species,Type_data,Stressor
Chollett I.; Escovar-Fadul X.; Schill S.R.; Croquer A.; Dixon A.M.; Beger M.; Shaver E.; Pietsch McNulty V.; Wolff N.H.,Planning for resilience: Incorporating scenario and model uncertainty and trade-offs when prioritizing management of climate refugia,2022,Marine climate refugia (include),Low-exposure climate refugia,Regional,Multiple,Tropical Southwestern Atlantic,Inside EEZ,no,Shallow (0-50m),Future,Corals,Combination,Chronic warming
Liao J.; Chen H.; Li J.-Y.; Li G.-C.; Guan X.; Liang C.-F.; Guo Y.-S.; Dong Z.-D.; Wang Z.-D.,Habitat changes of a small endemic euryhaline fish species in the northern margin of the South China Sea under the background of global warming,2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,"China, Taiwan, Vietnam",South China Sea,Both,no,Shallow (0-50m),Combination,Fishes,Modelled-based,Several pressures
Sun C.; Steinberg C.; Salas E.K.; Mellin C.; Babcock R.C.; Schiller A.; Cantin N.E.; Stella J.S.; Baird M.E.; Condie S.A.; Hobday A.J.; Herzfeld M.; Jones N.L.; Zhang X.; Chamberlain M.A.; Fiedler R.; Green C.; Steven A.D.L.,Climate refugia in the Great Barrier Reef may endure into the future,2024,Marine climate refugia (include),Low-exposure climate refugia,Regional,Australia,East Central Australian Shelf,Both,no,Epipelagic (0-200 m),Combination,Corals,Combination,Chronic warming
Sánchez de Pedro R.; Fernández A.N.; Melero-Jiménez I.J.; García-Sánchez M.J.; Flores-Moya A.; Bañares-España E.,Temporal and spatial variability in population traits of an intertidal fucoid reveals local-scale climatic refugia,2023,Marine climate refugia (include),Resilience-based climate refugia,Local,"Spain, Morocco",Mediterranean Sea,Inside EEZ,no,Shallow (0-50m),Present,Macroalgae,Empirical,Several pressures
Asner G.P.; Vaughn N.R.; Martin R.E.; Foo S.A.; Heckler J.; Neilson B.J.; Gove J.M.,Mapped coral mortality and refugia in an archipelago-scale marine heat wave,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Hawaii,Hawaii,Inside EEZ,no,Shallow (0-50m),Present,Corals,Combination,Several pressures
McWhorter J.K.; Halloran P.R.; Roff G.; Skirving W.J.; Mumby P.J.,Climate refugia on the Great Barrier Reef fail when global warming exceeds 3°C,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Australia,East Central Australian Shelf,Both,no,Shallow (0-50m),Combination,Corals,Combination,Several pressures
Bleuel J.; Pennino M.G.; Longo G.O.,Coral distribution and bleaching vulnerability areas in Southwestern Atlantic under ocean warming,2021,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Brazil,Warm Temperate Southwestern Atlantic,Inside EEZ,no,Epipelagic (0-200 m),Combination,Corals,Combination,Chronic warming
Fragkopoulou E.; Serrão E.A.; Horta P.A.; Koerich G.; Assis J.,Bottom Trawling Threatens Future Climate Refugia of Rhodoliths Globally,2021,Marine climate refugia (include),Habitat-suitable climate refugia,Global,Global,"Arctic, Northern European Seas, Lusitanian, Mediterranean Sea, Cold Temperate Northwest Atlantic, Warm Temperate Northwest Atlantic, Black Sea, Cold Temperate Northwest Pacific, Warm Temperate Northwest Pacific, Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific, Tropical Northwestern Atlantic, North Brazil Shelf, Tropical Southwestern Atlantic, St. Helena & Ascension Islands, West African Transition, Gulf of Guinea, Red Sea & Gulf of Aden, Somali/Arabian, Western Indian Ocean, West & South Indian Shelf, Central Indian Ocean Islands, Bay of Bengal, Tristan–Gough, Marquesas, Southeast Polynesia, Hawaii, Andaman, ""Marshall, Gilbert & Ellis Islands"", South China Sea, Sunda Shelf, South Kuroshio, Lord Howe & Norfolk Islands, Java Transitional, Tropical Northwestern Pacific, Central Polynesia, Western Coral Triangle, Easter Island, Eastern Coral Triangle, Sahul Shelf, Northeast Australian Shelf, Northwest Australian Shelf, Tropical East Pacific, Tropical Southwestern Pacific, Galapagos, Warm Temperate Southeastern Pacific, Juan Fernández & Desventuradas, Magellanic, Benguela, Agulhas, Amsterdam–St Paul, Northern New Zealand, Southern New Zealand, East Central Australian Shelf, Southeast Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf, Subantarctic Islands, Scotia Sea, Continental High Antarctic, Subantarctic New Zealand, Global",Both,yes,"Epipelagic (0-200 m), Mesopelagic (200–1,000 m)",Combination,Not included,Combination,Several pressures
Gouvêa L.; Fragkopoulou E.; B. Araújo M.; Serrão E.A.; Assis J.,Seagrass Biodiversity Under the Latest-Generation Scenarios of Projected Climate Change,2025,Marine climate refugia (include),Habitat-suitable climate refugia,Global,Global,"Arctic, Northern European Seas, Lusitanian, Mediterranean Sea, Cold Temperate Northwest Atlantic, Warm Temperate Northwest Atlantic, Black Sea, Cold Temperate Northwest Pacific, Warm Temperate Northwest Pacific, Cold Temperate Northeast Pacific, Subantarctic New Zealand, Continental High Antarctic, Scotia Sea, Subantarctic Islands, West Central Australian Shelf, Southwest Australian Shelf, Southeast Australian Shelf, East Central Australian Shelf, Southern New Zealand, Northern New Zealand, Amsterdam–St Paul, Agulhas, Benguela, Tristan–Gough, Magellanic, Warm Temperate Southwestern Atlantic, Juan Fernández & Desventuradas, Warm Temperate Southeastern Pacific, Galapagos, Tropical East Pacific, Easter Island, Southeast Polynesia, Marquesas, Central Polynesia, ""Marshall, Gilbert & Ellis Islands"", Hawaii, Lord Howe & Norfolk Islands, Tropical Southwestern Pacific, Northwest Australian Shelf, Northeast Australian Shelf, Sahul Shelf, Eastern Coral Triangle, Western Coral Triangle, Tropical Northwestern Pacific, South Kuroshio, Java Transitional, Sunda Shelf, South China Sea, Andaman, Bay of Bengal, Central Indian Ocean Islands, West & South Indian Shelf, Western Indian Ocean, Somali/Arabian, Red Sea & Gulf of Aden, Warm Temperate Northeast Pacific, Tropical Northwestern Atlantic, North Brazil Shelf, Tropical Southwestern Atlantic, St. Helena & Ascension Islands, West African Transition, Gulf of Guinea, Global",Both,yes,Shallow (0-50m),Combination,Seagrasses,Modelled-based,Several pressures
Gregório I.; Xavier J.R.; Davies A.J.,"Present and future distribution of the deep-sea habitat-forming sponge - Pheronema carpenteri ( Thomson, 1869) in a changing ocean",2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,"Arctic, Northern European Seas, Lusitanian, Mediterranean Sea, Warm Temperate Northwest Atlantic, West African Transition, Tropical Northwestern Atlantic",Both,no,"Bathyabyssopelagic
(>1,000 m)",Combination,Invertebrates,Combination,Chronic warming
Millot J.; Georges V.; Lauria V.; Hattab T.; Dominguez-Carrió C.; Gerovasileiou V.; Smith C.J.; Mytilineou C.; Teresa Farriols M.; Fabri M.-C.; Carbonara P.; Massi D.; Rinelli P.; Profeta A.; Chimienti G.; Jadaud A.; Thasitis I.; Camilleri K.; Mifsud J.; Vaz S.,Habitat shifts of the vulnerable crinoid Leptometra phalangium under climate change scenarios,2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,Mediterranean Sea,Both,no,"Epipelagic (0-200 m), Mesopelagic (200–1,000 m)",Combination,Invertebrates,Combination,Several pressures
Zucconi M.; Opazo F.; Navarrete S.,Assessing the Efficiency of the Marine Protected Area Systems in the Southeastern Pacific,2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,Warm Temperate Southeastern Pacific,Both,no,Shallow (0-50m),Present,Invertebrates,Modelled-based,Chronic warming
Assis J.; Alberto F.; Macaya E.C.; Castilho Coelho N.; Faugeron S.; Pearson G.A.; Ladah L.; Reed D.C.; Raimondi P.; Mansilla A.; Brickle P.; Zuccarello G.C.; Serrão E.A.,Past climate-driven range shifts structuring intraspecific biodiversity levels of the giant kelp (Macrocystis pyrifera) at global scales,2023,Marine climate refugia (include),Habitat-suitable climate refugia,Global,Multiple,"Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific, Northeast Australian Shelf, Northwest Australian Shelf, Tropical Southwestern Pacific, Warm Temperate Southeastern Pacific, Benguela, Agulhas, Northern New Zealand, Southern New Zealand, East Central Australian Shelf, Southeast Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf, Subantarctic New Zealand, Subantarctic Islands",Both,no,Shallow (0-50m),Combination,Macroalgae,Modelled-based,Several pressures
Bryndum-Buchholz A.; Blanchard J.L.; Coll M.; Du Pontavice H.; Everett J.D.; Guiet J.; Heneghan R.F.; Maury O.; Novaglio C.; Palacios-Abrantes J.; Petrik C.M.; Tittensor D.P.; Lotze H.K.,Applying ensemble ecosystem model projections to future-proof marine conservation planning in the Northwest Atlantic Ocean,2023,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,Cold Temperate Northwest Atlantic,Both,no,Not specified,Combination,Multiple marine species,Modelled-based,Several pressures
McClanahan T.R.,Local heterogeneity of coral reef diversity and environmental stress provides opportunities for small-scale conservation,2023,Marine climate refugia (include),Resilience-based climate refugia,Regional,Multiple,Western Indian Ocean,Inside EEZ,no,Shallow (0-50m),Present,"Corals, Fishes",Satellite-based,Several pressures
Lowen J.B.; Di Bacco C.,Range expansion and establishment of a non-indigenous tunicate (Diplosoma listerianum) in thermal refugia is mediated by environmental variability in changing coastal environments,2023,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Canada,Cold Temperate Northwest Atlantic,Both,no,Shallow (0-50m),Combination,Invertebrates,Satellite-based,Several pressures
Anderson O.F.; Stephenson F.; Behrens E.; Rowden A.A.,Predicting the effects of climate change on deep-water coral distribution around New Zealand—Will there be suitable refuges for protection at the end of the 21st century?,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Local,New Zealand,"Northern New Zealand, Southern New Zealand",Both,no,"Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m)",Combination,Corals,Combination,Several pressures
Gasbarro R.; Sowers D.; Margolin A.; Cordes E.E.,Distribution and predicted climatic refugia for a reef-building cold-water coral on the southeast US margin,2022,Marine climate refugia (include),Habitat-suitable climate refugia,Local,USA,Tropical Northwestern Atlantic,Inside EEZ,no,Not specified,Combination,Corals,Combination,Several pressures
Starko S.; Neufeld C.J.; Gendall L.; Timmer B.; Campbell L.; Yakimishyn J.; Druehl L.; Baum J.K.,Microclimate predicts kelp forest extinction in the face of direct and indirect marine heatwave effects,2022,Marine climate refugia (include),Low-exposure climate refugia,Local,Canada,Cold Temperate Northeast Pacific,Inside EEZ,no,Shallow (0-50m),Present,Macroalgae,Combination,Several pressures
Ángeles-González L.E.; Martínez-Meyer E.; Yañez-Arenas C.; Velázquez-Abunader I.; López-Rocha J.A.; Torrejón-Magallanes J.; Rosas C.,"Climate change effect on Octopus maya (Voss and Solís-Ramírez, 1966) suitability and distribution in the Yucatan Peninsula, Gulf of Mexico: A correlative and mechanistic approach",2021,Marine climate refugia (include),Habitat-suitable climate refugia,Local,Mexico,Tropical Southwestern Atlantic,Inside EEZ,no,Not specified,Combination,Invertebrates,Combination,Several pressures
Arafeh-Dalmau N.; Cavanaugh K.C.; Possingham H.P.; Munguia-Vega A.; Montaño-Moctezuma G.; Bell T.W.; Cavanaugh K.; Micheli F.,Southward decrease in the protection of persistent giant kelp forests in the northeast Pacific,2021,Marine climate refugia (include),Resilience-based climate refugia,Regional,USA,"Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific",Inside EEZ,no,Not specified,Present,Macroalgae,Satellite-based,None
Gonzalez-Espinosa P.C.; Donner S.D.,Cloudiness reduces the bleaching response of coral reefs exposed to heat stress,2021,Marine climate refugia (include),Resilience-based climate refugia,Global,Global,"Arctic, Northern European Seas, Lusitanian, Mediterranean Sea, Cold Temperate Northwest Atlantic, Warm Temperate Northwest Atlantic, Black Sea, Cold Temperate Northwest Pacific, Warm Temperate Northwest Pacific, Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific, Tropical Northwestern Atlantic, North Brazil Shelf, Tropical Southwestern Atlantic, St. Helena & Ascension Islands, West African Transition, Gulf of Guinea, Red Sea & Gulf of Aden, Somali/Arabian, Western Indian Ocean, West & South Indian Shelf, Central Indian Ocean Islands, Bay of Bengal, Andaman, South China Sea, Sunda Shelf, Java Transitional, South Kuroshio, Tropical Northwestern Pacific, Western Coral Triangle, Eastern Coral Triangle, Sahul Shelf, Northeast Australian Shelf, Northwest Australian Shelf, Tropical Southwestern Pacific, Lord Howe & Norfolk Islands, Hawaii, ""Marshall, Gilbert & Ellis Islands"", Central Polynesia, Southeast Polynesia, Marquesas, Easter Island, Tropical East Pacific, Galapagos, Warm Temperate Southeastern Pacific, Juan Fernández & Desventuradas, Warm Temperate Southwestern Atlantic, Magellanic, Tristan–Gough, Benguela, Agulhas, Amsterdam–St Paul, Northern New Zealand, Southern New Zealand, East Central Australian Shelf, Southeast Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf, Subantarctic Islands, Scotia Sea, Continental High Antarctic, Subantarctic New Zealand, Global",Both,yes,Shallow (0-50m),Present,Corals,Combination,Chronic warming
Kocsis Á.T.; Zhao Q.; Costello M.J.; Kiessling W.,Not all biodiversity rich spots are climate refugia,2021,Marine climate refugia (include),Low-exposure climate refugia,Global,Global,"Arctic, Northern European Seas, Lusitanian, Mediterranean Sea, Cold Temperate Northwest Atlantic, Warm Temperate Northwest Atlantic, Black Sea, Cold Temperate Northwest Pacific, Warm Temperate Northwest Pacific, Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific, Tropical Northwestern Atlantic, North Brazil Shelf, Tropical Southwestern Atlantic, St. Helena & Ascension Islands, West African Transition, Gulf of Guinea, Red Sea & Gulf of Aden, Somali/Arabian, Western Indian Ocean, West & South Indian Shelf, Central Indian Ocean Islands, Bay of Bengal, Andaman, South China Sea, Sunda Shelf, Java Transitional, South Kuroshio, Tropical Northwestern Pacific, Western Coral Triangle, Eastern Coral Triangle, Sahul Shelf, Northeast Australian Shelf, Northwest Australian Shelf, Tropical Southwestern Pacific, Lord Howe & Norfolk Islands, Hawaii, ""Marshall, Gilbert & Ellis Islands"", Central Polynesia, Southeast Polynesia, Marquesas, Easter Island, Tropical East Pacific, Galapagos, Warm Temperate Southeastern Pacific, Juan Fernández & Desventuradas, Warm Temperate Southwestern Atlantic, Magellanic, Tristan–Gough, Benguela, Agulhas, Amsterdam–St Paul, Northern New Zealand, Southern New Zealand, East Central Australian Shelf, Southeast Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf, Subantarctic Islands, Scotia Sea, Continental High Antarctic, Subantarctic New Zealand, Global",Both,yes,Not specified,Combination,Not included,Combination,Chronic warming
Angeles-Gonzalez L.E.; Re-Araujo A.D.; Díaz F.; Caamal-Monsreal C.; Rodríguez-Fuentes G.; Galindo-Sánchez C.E.; Mascaró M.; Pascual C.; Rosas C.,Thermal optimality and physiological parameters inferred from experimental studies scale latitudinally with marine species occurrences,2023,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Mexico,"Warm Temperate Northeast Pacific, Warm Temperate Northwest Atlantic",Inside EEZ,no,Not specified,Future,Fishes,Combination,Acute warming
Queirós A.M.; Talbot E.; Beaumont N.J.; Somerfield P.J.; Kay S.; Pascoe C.; Dedman S.; Fernandes J.A.; Jueterbock A.; Miller P.I.; Sailley S.F.; Sará G.; Carr L.M.; Austen M.C.; Widdicombe S.; Rilov G.; Levin L.A.; Hull S.C.; Walmsley S.F.; Nic Aonghusa C.,Bright spots as climate-smart marine spatial planning tools for conservation and blue growth,2021,Marine climate refugia (include),Combination,Regional,Ireland,Northern European Seas,Inside EEZ,no,Not specified,Combination,"Fishes, Marine mammals, Multiple marine species",Combination,Several pressures
Tang Q.; John A.; Wardiatno Y.; Nishida S.; Van T.; Xie X.; Pati S.; Susanto H.A.; Hajisamae S.; Nelson B.R.; Min W.W.; Hasan M.E.; Salles T.; Chen Y.; Qu Y.; Lei F.; Venkatesh B.; Rheindt F.E.,Evolution and Viability of Asian Horseshoe Crabs Appear Tightly Linked to Geo-Climatic Dynamics in the Sunda Shelf,2025,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,"Andaman, South China Sea, Sunda Shelf, Java Transitional, Western Coral Triangle, Warm Temperate Northwest Pacific",Inside EEZ,no,Not specified,Future,Invertebrates,Combination,Several pressures
Assis J.; Fragkopoulou E.; Gouvêa L.; Araújo M.B.; Serrão E.A.,Kelp forest diversity under projected end-of-century climate change,2024,Marine climate refugia (include),Combination,Global,Multiple,"Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific, Cold Temperate Northwest Atlantic, Warm Temperate Northwest Atlantic, Arctic, Northern European Seas, Lusitanian, Mediterranean Sea, West African Transition, Cold Temperate Northwest Pacific, Warm Temperate Southeastern Pacific, Juan Fernández & Desventuradas, Magellanic, Scotia Sea, Amsterdam–St Paul, Continental High Antarctic, Subantarctic New Zealand, Southern New Zealand, Southeast Australian Shelf",Inside EEZ,no,Shallow (0-50m),Future,Macroalgae,Combination,Several pressures
González-Trujillo J.D.; Naimi B.; Assis J.; Araújo M.B.,Reshuffling of Azorean Coastal Marine Biodiversity Amid Climate Change,2024,Marine climate refugia (include),Combination,Regional,Azores,Lusitanian,Both,no,Not specified,Future,"Fishes, Marine mammals, Multiple marine species, Macroalgae, Corals",Combination,Several pressures
Queirós A.M.; Talbot E.; Msuya F.E.; Kuguru B.; Jiddawi N.; Mahongo S.; Shaghude Y.; Muhando C.; Chundu E.; Jacobs Z.; Sailley S.; Virtanen E.A.; Viitasalo M.; Osuka K.; Aswani S.; Coupland J.; Wilson R.; Taylor S.; Fernandes-Salvador J.A.; Van Gennip S.; Senkondo E.; Meddard M.; Popova E.,A sustainable blue economy may not be possible in Tanzania without cutting emissions,2024,Marine climate refugia (include),Combination,Regional,Tanzania,Western Indian Ocean,Inside EEZ,no,Not specified,Future,"Corals, Fishes, Seagrasses, Mangrove, Invertebrates, Marine mammals, Multiple marine species",Combination,Several pressures
Kim S.W.; Sommer B.; Beger M.; Pandolfi J.M.,Regional and global climate risks for reef corals: Incorporating species-specific vulnerability and exposure to climate hazards,2023,Marine climate refugia (include),Combination,Global,Multiple,"Warm Temperate Northwest Pacific, Tropical Northwestern Atlantic, Tropical Southwestern Atlantic, West African Transition, Gulf of Guinea, Red Sea & Gulf of Aden, Somali/Arabian, Western Indian Ocean, Hawaii, Lord Howe & Norfolk Islands, Tropical Southwestern Pacific, Northwest Australian Shelf, Northeast Australian Shelf, Sahul Shelf, Eastern Coral Triangle, West & South Indian Shelf, Bay of Bengal, Andaman, South China Sea, Sunda Shelf, Java Transitional, South Kuroshio, Tropical Northwestern Pacific, Western Coral Triangle, Central Polynesia, Galapagos, Southeast Polynesia, Marquesas, Easter Island, Tropical East Pacific, East Central Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf, Cold Temperate Northwest Pacific, Warm Temperate Northwest Atlantic, ""Marshall, Gilbert & Ellis Islands""",Inside EEZ,no,Shallow (0-50m),Combination,Corals,Modelled-based,Several pressures
Eladawy A.; Nakamura T.; Shaltout M.; Mohammed A.; Nadaoka K.; Fox M.D.; Osman E.O.,Appraisal of coral bleaching thresholds and thermal projections for the northern Red Sea refugia,2022,Marine climate refugia (include),Combination,Regional,Multiple,Red Sea & Gulf of Aden,Inside EEZ,no,Shallow (0-50m),Combination,Corals,Combination,Several pressures
Karnauskas K.B.,Whither warming in the Galápagos?,2022,Marine climate refugia (include),Low-exposure climate refugia,Regional,Ecuador,Galapagos,Inside EEZ,no,"Epipelagic (0-200 m), Shallow (0-50m)",Past,Not included,Combination,Several pressures
Hu W.; Du J.; Su S.; Tan H.; Yang W.; Ding L.; Dong P.; Yu W.; Zheng X.; Chen B.,Effects of climate change in the seas of China: Predicted changes in the distribution of fish species and diversity,2022,Marine climate refugia (include),Combination,Regional,China,"Cold Temperate Northwest Pacific, Warm Temperate Northwest Pacific, South China Sea",Inside EEZ,no,Not specified,Future,Fishes,Combination,Several pressures
Zelli E.; Ellis J.; Pilditch C.; Rowden A.A.; Anderson O.F.; Geange S.W.; Bowden D.A.; Stephenson F.,Identifying climate refugia for vulnerable marine ecosystem indicator taxa under future climate change scenarios,2025,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,New Zealand,"Northern New Zealand, Southern New Zealand, Subantarctic New Zealand",Inside EEZ,no,"Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m)",Combination,Corals,Combination,Several pressures
Alabia I.D.; García Molinos J.; Hirata T.; Mueter F.J.; Hirawake T.; Saitoh S.-I.,Marine biodiversity refugia in a climate-sensitive subarctic shelf,2021,Marine climate refugia (include),Combination,Regional,United States,"Arctic, Cold Temperate Northeast Pacific",Inside EEZ,no,"Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m)",Past,"Fishes, Invertebrates",Combination,Several pressures
Georges V.; Vaz S.; Carbonara P.; Fabri M.-C.; Fanelli E.; Follesa M.C.; Garofalo G.; Gerovasileiou V.; Jadaud A.; Maiorano P.; Marin P.; Mytilineou C.; Orejas C.; Del Mar Otero M.; Smith C.J.; Thasitis I.; Lauria V.,Mapping the habitat refugia of Isidella elongata under climate change and trawling impacts to preserve Vulnerable Marine Ecosystems in the Mediterranean,2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,Mediterranean Sea,Both,no,"All water column, Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m), Seafloor",Combination,Corals,Combination,Several pressures
Doxa A.; Almpanidou V.; Katsanevakis S.; Queirós A.M.; Kaschner K.; Garilao C.; Kesner-Reyes K.; Mazaris A.D.,4D marine conservation networks: Combining 3D prioritization of present and future biodiversity with climatic refugia,2022,Marine climate refugia (include),Low-exposure climate refugia,Regional,Multiple,Mediterranean Sea,Both,no,"Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m), Seafloor, All water column",Combination,Not included,Combination,Chronic warming
